iso3c,negara,mapel,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
CYP,Cyprus,Membaca,381.07572437195614,1.1641990902620307,108.03121087278475,1.0001485616601589,245.4634,2.1750835286642802,300.37399999999997,1.759377094038621,374.2731000000001,2.3365119690826943,456.41889999999995,2.3306890792567483,526.9590000000001,2.6919029088278004,281.4956,3.024534530303793
DOM,Dominican Republic,Membaca,351.3122866900286,2.4408008862279647,83.95469581877215,1.5623325536281127,248.55370000000005,2.5128313682256715,290.61689999999993,2.6126524473862394,345.1714,2.953503266837911,406.1578,3.271490337241831,464.04570000000007,4.10361800273382,215.49200000000002,4.269584627695715
SLV,El Salvador,Membaca,364.90364362446246,2.8040209488389474,79.27675819559866,1.6657404593882295,268.35290000000003,2.9648385008715037,308.6531,2.812430782284045,358.15720000000005,3.0271600691810874,415.50590000000005,3.7084278155941233,472.52,4.90787312115272,204.1671,5.262068550392305
GEO,Georgia,Membaca,373.85835094728674,2.2879242784672864,83.32940358039339,1.632480899290581,269.97450000000003,2.7341009683257904,314.33610000000004,2.6695564042656135,369.54810000000003,2.1658305923094097,429.23130000000003,3.289378595254225,485.6714999999999,4.391709955447624,215.69700000000003,4.689339826078339
GTM,Guatemala,Membaca,374.12187096113416,2.437644371337782,73.24312902355308,1.6055184950113157,282.9824,2.9236916067989576,323.3995,2.558219871235328,371.5942,2.6758256875474697,422.3843000000001,3.190259862042767,469.2592000000001,4.274423859568678,186.27680000000004,4.888553837068449
HKG,Hong Kong,Membaca,499.70134091530184,2.8484780551982167,98.81923970680322,1.5170364184628962,365.91920000000005,5.147356821412757,437.1110000000001,3.981760388948588,507.0186,2.9281254015771103,568.9545999999999,2.782295467225666,620.9087,3.295079537313505,254.98950000000002,5.197612074228583
IDN,Indonesia,Membaca,358.5698594568464,2.9066056156039854,75.79525053361552,1.3570171979696133,263.9366,3.1079138971923133,306.2465,2.93613529112297,355.1804000000001,3.126283052204327,408.7060000000001,3.938935174620305,458.9647,4.118177328220179,195.0281,3.978577387518335
JAM,Jamaica,Membaca,409.63278662407834,4.2085529030193385,97.84284089555986,1.7690362896449057,284.17170000000004,5.000485275006377,340.04350000000005,4.747318714167909,407.27270000000004,5.125920018694748,479.50440000000003,5.302008376392224,539.6135,5.027151253457448,255.44179999999997,5.492047418022326
JOR,Jordan,Membaca,342.1658280535569,2.4013438375949474,76.67358953294921,1.4204560085190785,245.1968,2.599055462540406,286.5449,2.5135175002429913,338.8633,2.6487105647528453,395.0058,3.067959279119152,443.48199999999997,4.2382381920603365,198.28520000000003,4.488388302856854
KAZ,Kazakhstan,Membaca,386.2847481049628,1.6633863680747254,81.91851225391142,1.0853454358823145,288.4597,1.9687070000595117,330.2892,1.6177887773302027,379.682,1.7605151504996714,434.8588,2.0640253639900905,495.1125,3.2121833252910355,206.65279999999998,3.1820667404525707
XKK,Kosovo,Membaca,342.19442057784676,1.059504666153654,66.66709207182838,0.8388029504522738,259.33869999999996,1.9849974496205234,294.52560000000005,1.4601930465980562,338.2348,1.530689182561603,386.2721,1.7280814639683815,432.44190000000003,2.6511705160174026,173.10320000000002,3.1894868948190105
MAC,Macau,Membaca,510.4051219401435,1.3460016578124692,89.54804877997542,1.0295769656627918,393.15020000000004,2.8696970206897365,453.03679999999997,2.4206425814692674,515.4482,1.5404748171784988,573.6140000000001,1.8751638882449155,621.0056,2.563878290820159,227.85539999999997,3.796566092481884
